Text;finals;last_word
Мамуню серденько.;ко;серде^нько
– Під вербою коцюбою,;ою;коцюбо^ю
Мамуню серденько.;ко;серде^нько
– Чим же вона ї чистила,;ла;чистила^
Сину Василеньку?;ку;василе^ньку
– Сокирою до порога,;га;поро^га
Мамуню серденько.;ко;серде^нько
– Сокирою до порога,;га;поро^га
Мамуню серденько.;ко;серде^нько
– В чім же вона ї варила,;ла;варила^
Сину Василеньку?;ку;василе^ньку
– В черепочку при жарочку,;ку;жаро^чку
Мамуню серденько.;ко;серде^нько
– В черепочку при жарочку,;ку;жаро^чку
Мамуню серденько.;ко;серде^нько
– Ой чи їла вона сама,;ма;сама^
Сину Василеньку?;ку;василе^ньку
– Ой не їла, – слаба була,;ла;бу^ла
Мамуню серденько.;ко;серде^нько
– Ой не їла, – слаба була,;ла;бу^ла
Мамуню серденько.;ко;серде^нько
– А чи їли її діти,;ти;ді^ти
Сину Василеньку?;ку;василе^ньку
– Ой не їли, – спати хтіли,;ли;хті^ли
 Мамуню серденько.;ко;серде^нько
– Ой не їли, – спати хтіли,;ли;хті^ли
Мамуню серденько.;ко;серде^нько
– А чи їли її слуги,;ги;слу^ги
Сину Василеньку?;ку;василе^ньку
– Ой не їли, бо не хтіли,;ли;хті^ли
Мамуню серденько.;ко;серде^нько
– Ой не їли, бо не хтіли,;ли;хті^ли
Мамуню серденько.;ко;серде^нько
– Якого ж ти, батька треба,;ба;тре^ба
Сину Василеньку?;ку;василе^ньку
– Ой попика з книжечкою,;ою;книжечко^ю
Мамуню серденько.;ко;серде^нько
– Ой попика з книжечкою,;ою;книжечко^ю
Мамуню серденько.;ко;серде^нько
– Яких тобі дружбів треба,;ба;тре^ба
Сину Василеньку?;ку;василе^ньку
– Два хлопчики з хореньгвами,;ми;хореньгва^ми
Мамуню серденько.;ко;серде^нько
– Два хлопчики з хореньгвами,;ми;хореньгва^ми
Мамуню серденько.;ко;серде^нько
– Яких тобі свахів треба,;ба;тре^ба
Сину Василеньку?;ку;василе^ньку
– Три жіночки з свічечками,;ми;свічечка^ми
Мамуню серденько.;ко;серде^нько
– Три жіночки з свічечками,;ми;свічечка^ми
Мамуню серденько.;ко;серде^нько
– Якої ж ти хати треба,;ба;тре^ба
Сину Василеньку?;ку;василе^ньку
– Штири дошки й землі трошки,;ки;тро^шки
Мамуню серденько.;ко;серде^нько
– Штири дошки й землі трошки,;ки;тро^шки
Мамуню серденько.;ко;серде^нько
ОЙ ЧИЄ Ж ТО ПОЛЕ;ле;по^ле
Ой чиє ж то поле,;ле;по^ле
Широке та довге?;ге;до^вге
Чи не того козаченька,;ка;козаче^нька
Шо чорнії брови?;ви;бро^ви
Чи не того козаченька,;ка;козаче^нька
Шо чорнії брови?;ви;бро^ви
Ой чиї ж то воли;ли;во^ли
По полю блукают?;ют;блука^ют
Чи не того козаченька,;ка;козаче^нька
Шо нас трьох коха(й)є?;йє;коха^йє
Чи не того козаченька,;ка;козаче^нька
Шо нас трьох коха(й)є?;йє;коха^йє
Перша полюбила,;ла;полюби^ла
Коника купила,;ла;купи^ла
Друга полюбила,;ла;полюби^ла
Сідельце купила.;ла;купи^ла
Друга полюбила,;ла;полюби^ла
Сідельце купила.;ла;купи^ла
Друга полюбила,;ла;полюби^ла
Сідельце купила,;ла;купи^ла
А третяя чорнявая;ая;чорнява^я
Вечеру носила:;ла;носи^ла
А третяя чорнявая;ая;чорнява^я
Вечеру носила:;ла;носи^ла
– Вечерай, козаче,;че;коза^че
Та не сумлівайся,;ся;сумліва^йся
Як не маєш жінки дома,;ма;до^ма
Зі мною кохайс(ь)я.;ья;коха^йсья
Як не маєш жінки дома,;ма;до^ма
Зі мною кохайс(ь)я.;ья;коха^йсья
– Ой маю я жінку;ку;жі^нку
Ше й діточок двоє,;оє;дво^є
Болит мене тяжко серце,;це;се^рце
Шо мої обоє.;оє;обо^є
Болит мене тяжко серце,;це;се^рце
Шо мої обоє.;оє;обо^є
ОЙ ЧИЇ Ж ТО ВОЛИ;ли;во^ли
Ой чиї ж то воли;ли;во^ли
Попід гай ходили?;ли;ходи^ли
Чи не того козаченька,;ка;козаче^нька
Що нас трьох любили?;ли;люби^ли
Чи не того козаченька,;ка;козаче^нька
Що нас трьох любили?;ли;люби^ли
Першая любила,;ла;люби^ла
Другая кохала,;ла;коха^ла
А третяя, чорнявая;ая;чорнява^я
Чари готувала.;ла;готува^ла
А третяя, чорнявая;ая;чорнява^я
Чари готувала.;ла;готува^ла
Готувала чари –;и ;ча^ри
Сиву перепілку –;у ;перепі^лку
Й поставила козакови;ви;козако^ви
На білу тарілку.;ку;тарі^лку
Й поставила козакови;ви;козако^ви
На білу тарілку.;ку;тарі^лку
Козак сів, поївши;ши;пої^вши
Крильця та реберце, –;е ;ребе^рце
Заболіла головонька,;ка;голово^нька
Пече коло серця.;ця;се^рця
Заболіла головонька,;ка;голово^нька
Пече коло серця.;ця;се^рця
Як почула мати;ти;ма^ти
З третьої кімнати:;ти;кімна^ти
– Ой де ж тобі, мій синочку,;ку;сино^чку
Лікарі шукати?;ти;шука^ти
– Ой де ж тобі, мій синочку,;ку;сино^чку
Лікарі шукати?;ти;шука^ти
– Не поможуть, мамцю,;цю;ма^мцю
Ліки та й лікарки,;ки;ліка^рки
Лиш поможе сажень землі;лі;зе^млі
І чотири дошки.;ки;до^шки
Лиш поможе сажень землі;лі;зе^млі
І чотири дошки.;ки;до^шки
ОЙ НА ГОРІ ЯЧМІНЬ;нь;ячмі^нь
Ой на горі ячмінь,;нь;ячмі^нь
А в долині жито,;то;жи^то
Прийшла звістка до дівчини,;ни;дівчи^ни
Що козака вбито.;то;вби^то
Ой убито, вбито,;то;вби^то
Закинуто в жито,;то;жи^то
Червоною китайкою;ою;кита^йкою
Оченьки накрито.;то;накри^то
А прийшла дівчина;на;дівчи^на
З чорними очима;ма;очи^ма
Та й підняла китаєчку,;ку;кита^єчку
Та й заголосила.;ла;заголоси^ла
А прийшла другая,;ая;друга^я
Та вже не такая,;ая;така^я
Підняла китаєчку;ку;кита^єчку
Та й поцілувала.;ла;поцілува^ла
А прийшла третяя;яя;третя^я
Та з нової хати:;ти;ха^ти
– Було тобі, козаченьку,;ку;козаче^ньку
Нас трьох не кохати.;ти;коха^ти
Нас трьох не кохати,;ти;коха^ти
Нас трьох не любити,;ти;люби^ти
Тепер будеш, козаченько,;ко;козаче^нько
В серій землі гнити.;ти;гни^ти
ОЙ НА ГОРІ ЖИТО;то;жи^то
Ой на горі жито, (й); й;жи^той
На долині жито,;то;жи^то
Під білою березою;ою;березо^ю
Лежить козак вбитий.;ий;вби^тий
Ой убито й вбито,;то;вби^то
Й затягнено в жито,;то;жи^то
