Number of line;Title;Text
250;;– Три жіночки з свічечками,
251;;Мамуню серденько.
252;;
253;;– Якої ж ти хати треба,
254;;Сину Василеньку?
255;;– Штири дошки й землі трошки,
256;;Мамуню серденько.
257;;– Штири дошки й землі трошки,
258;;Мамуню серденько.
259;;
260;ОЙ ЧИЄ Ж ТО ПОЛЕ;Ой чиє ж то поле,
261;;Широке та довге?
262;;Чи не того козаченька,
263;;Шо чорнії брови?
264;;Чи не того козаченька,
265;;Шо чорнії брови?
266;;
267;;Ой чиї ж то воли
268;;По полю блукают?
269;;Чи не того козаченька,
270;;Шо нас трьох коха(й)є?
271;;Чи не того козаченька,
272;;Шо нас трьох коха(й)є?
273;;
274;;Перша полюбила,
275;;Коника купила,
276;;Друга полюбила,
277;;Сідельце купила.
278;;Друга полюбила,
279;;Сідельце купила.
280;;
281;;Друга полюбила,
282;;Сідельце купила,
283;;А третяя чорнявая
284;;Вечеру носила:
285;;А третяя чорнявая
286;;Вечеру носила:
287;;
288;;– Вечерай, козаче,
289;;Та не сумлівайся,
290;;Як не маєш жінки дома,
291;;Зі мною кохайс(ь)я.
292;;Як не маєш жінки дома,
293;;Зі мною кохайс(ь)я.
294;;
295;;– Ой маю я жінку
296;;Ше й діточок двоє,
297;;Болит мене тяжко серце,
298;;Шо мої обоє.
299;;Болит мене тяжко серце,
300;;Шо мої обоє.
301;;
302;ОЙ ЧИЇ Ж ТО ВОЛИ;Ой чиї ж то воли
303;;Попід гай ходили?
304;;Чи не того козаченька,
305;;Що нас трьох любили?
306;;Чи не того козаченька,
307;;Що нас трьох любили?
308;;
309;;Першая любила,
310;;Другая кохала,
311;;А третяя, чорнявая
312;;Чари готувала.
313;;А третяя, чорнявая
314;;Чари готувала.
315;;
316;;Готувала чари –
317;;Сиву перепілку –
318;;Й поставила козакови
319;;На білу тарілку.
320;;Й поставила козакови
321;;На білу тарілку.
322;;
323;;Козак сів, поївши
324;;Крильця та реберце, –
325;;Заболіла головонька,
326;;Пече коло серця.
327;;Заболіла головонька,
328;;Пече коло серця.
329;;
330;;Як почула мати 
331;;З третьої кімнати: 
332;;– Ой де ж тобі, мій синочку, 
333;;Лікарі шукати?
