Number of line;Title;Text
2448;;Мати ж моя ріднесенька,
2449;;Що я провинила,
2450;;Ходит Яків до вдовоньки, 
2451;;А я щоб не жила.
2452;;Ходит Яків до вдовоньки, 
2453;;А я щоб не жила.
2454;;
2455;ОЙ З-ЗА ГОРИ СОНЦЕ СХОДИ;Ой з-за гори сонце сходи,
2456;;А пізно заходи,
2457;;Там жонатий до дівчини
2458;;На зальоти ходи.
2459;;Там жонатий до дівчини
2460;;На зальоти ходи.
2461;;
2462;;Прийшов милий до дівчини:
2463;;– Добрий вечір, серце!
2464;;Вона їму відповіла:
2465;;– Заріж жінку перше.
2466;;Вона їму відповіла:
2467;;– Заріж жінку перше.
2468;;
2469;;Заріж жінку ще й дитину,
2470;;Положи на лавку,
2471;;А сам прийдеш йа звечера
2472;;Та й сиди до ранку.
2473;;А сам прийдеш йа звечера
2474;;Та й сиди до ранку.
2475;;
2476;;Прийшов милий додомочку,
2477;;Сів ножа гострити,
2478;;Його жінка, як зозулька,
2479;;Взяла ся просити:
2480;;Його жінка, як зозулька,
2481;;Взяла ся просити:
2482;;
2483;;– Пусти мене, мій миленький,
2484;;Хоць їдну годинку,
2485;;Та й нахай я погодую
2486;;Маленьку дитинку.
2487;;Та й нахай я погодую
2488;;Маленьку дитинку.
2489;;
2490;;Пусти мене, мій миленький,
2491;;Хоць їден часочок,
2492;;Та нахай я погодую
2493;;Послєдний разочок.
2494;;Та нахай я погодую
2495;;Послєдний разочок.
2496;;
2497;;– Тоди будеш, моя мила, 
2498;;Дитя годувати, 
2499;;Як я піду до Дунаю
2500;;Ножа полокати.
2501;;Як я піду до Дунаю
2502;;Ножа полокати.
2503;;
2504;;Пішов милий до Дунаю
2505;;Ножа полокати, 
2506;;А сусіди, добрі люди
2507;;Дали мати знати:
2508;;А сусіди, добрі люди
2509;;Дали мати знати:
2510;;
2511;;– Іди, іди, стара мати, 
2512;;Дочку поховати, 
2513;;Пішов милий до Дунаю
2514;;Ножа полокати.
2515;;Пішов милий до Дунаю
2516;;Ножа полокати.
2517;;
2518;;Пішла, пішла стара мати, 
2519;;На порозі стала, 
2520;;Білі ручки заломала, 
2521;;Ревне заплакала:
2522;;Білі ручки заломала, 
2523;;Ревне заплакала:
2524;;
2525;;– Дочка моя єдинице, 
2526;;Що ж ти провинила, 
2527;;Та й що твоя кров червона
2528;;Землю сполонила?
2529;;Та й що твоя кров червона
2530;;Землю сполонила?
2531;;
2532;;– Так не знаю, моя мамцю, 
2533;;Коли-м ся вродила,
2534;;Так не знаю, моя мамцю, 
2535;;Що я провинила.
2536;;Так не знаю, моя мамцю, 
2537;;Що я провинила.
2538;;
2539;;Йа на тую молодиці[ю]
2540;;Штири дошки тешут, 
2541;;Йа вже того розбойніка
2542;;Нагайками чешут.
2543;;Йа вже того розбойніка
2544;;Нагайками чешут.
2545;;
2546;;Йа вже тую молодицю
2547;;До гробу провадят, 
2548;;А вже того розбойніка
2549;;В кандали вбирают.
2550;;А вже того розбойніка
2551;;В кандали вбирают.
2552;;
2553;;Йа вже тую молодицю
2554;;А в яму спускают, 
2555;;А вже ж того розбойніка
2556;;Навіки вбивают.
2557;;А вже ж того розбойніка
2558;;Навіки вбивают.
2559;;Йа вже тую молодицю
2560;;А в яму спустили, 
2561;;Йа вже того розбойніка
2562;;Навіки забили.
2563;;Йа вже того розбойніка
2564;;Навіки забили.
2565;;
2566;;Нема тої молодиці, 
2567;;Лиш за ню говора, 
2568;;Нема того розбойніка, 
2569;;Лиш за ним дорога.
2570;;Нема того розбойніка, 
2571;;Лиш за ним дорога.
2572;;
2573;ПОЖЕНУ Я ТОВАР НА ЯР;Пожену я товар на яр, 
2574;;Телята в долину, 
2575;;А сам піду до дівчини
2576;;На час, на годину.
2577;;
2578;;Прийшов же ж я до дівчини: 
2579;;– Добрий вечір, серце!
2580;;Вона ж мені відказала: 
2581;;– Йди, вбий жінку першу
2582;;
2583;;– Порадила-сь, дівчинонько, 
2584;;Як тебе любити, 
2585;;Тепер порадь, моя мила, 
2586;;Як жінку убити.
2587;;
2588;;– Піди, милий, до корчмоньки, 
2589;;Горілки напийся, 
2590;;А як прийдеш додомоньку, –
2591;;До жінки вчепися.
2592;;
2593;;Прийшов же я додомоньку
2594;;Та й став жінку бити, 
2595;;Сосідоньки, добрі люди
2596;;Біжать боронити.
2597;;
2598;;– Зажди, милий, чорнобривий, 
2599;;Зажди хоч годину, 
2600;;Нехай же ж я й погодую
2601;;Маленьку дитину.
2602;;
2603;;– Тоді мила-чорнобрива, 
2604;;Будеш годувати, 
2605;;Як я піду до Дунаю
2606;;Ножа полоскати.
2607;;
2608;;– Сусідоньки, добрі люди, 
2609;;Дайте мамі знати, 
2610;;Нехай іде свою дочку
2611;;На смерть одівати.
2612;;
2613;і ОЙ ЧИ РАНО, ЧИ НЕ РАНО;і Ой чи рано, чи не рано, 
2614;;Ще кури не піли, 
2615;;(і) Пішов Яків до вдовиці, 
2616;;Люди не виділи.
2617;;(і) Пішов Яків до вдовиці, 
2618;;Люди не виділи.
2619;;
2620;;Й прийшов же він до вдовиці: 
2621;;– Й добрий вечір, серце!
2622;;Она йому відказала: 
2623;;– Йди, вбий жінку перший.
2624;;Она йому відказала: 
2625;;– Йди, вбий жінку перший.
2626;;
2627;;Йди, вбий жінку ще й дитину, 
2628;;Положи на лаву, 
2629;;Тогди прийдеш ізвечера
2630;;До самого ранку.
2631;;Тогди прийдеш ізвечера
2632;;До самого ранку.
2633;;
2634;;– Й порадь мене, моя вдово, 
2635;;Як же жінку бити, 
2636;;Й моя жінка молоденька, –
2637;;Буде ся просити.
2638;;Й моя жінка молоденька, –
2639;;Буде ся просити.
2640;;
2641;;– Не дивися, Яковочку, 
2642;;На її прозьбочку, 
2643;;Забий коси у лавочку, 
2644;;Сам бий в головочку.
2645;;Забий коси у лавочку, 
2646;;Сам бий в головочку.
2647;;
2648;;– Й порадилась мене, вдово, 
2649;;Як же жінку вбити, 
2650;;Й порадь мене, моя вдово, 
2651;;Що з нею зробити.
2652;;Й порадь мене, моя вдово, 
2653;;Що з нею зробити.
2654;;
2655;;– Й заткай каглу, забий двері, 
2656;;"Скажут, що вгоріла; "
2657;;Й завези ї в круті гори, –
2658;;Скажут, що вдуріла.
2659;;Й завези ї в круті гори, –
2660;;Скажут, що вдуріла.
2661;;
2662;;Прийшов Яків додомочку, 
2663;;Став ножі острити, 
2664;;Його жінка молоденька
2665;;Стала ся просити:
2666;;Його жінка молоденька
2667;;Стала ся просити:
2668;;
2669;;– Й зажди міні, Яковочку, 
2670;;Хоть час, хоть годину, 
2671;;Й нехай же я підгодую 
2672;;Маленьку дитину.
2673;;Й нехай же я підгодую 
2674;;Маленьку дитину.
2675;;
2676;;– Й будеш тоді, моя жінко, 
2677;;Дитя годувати, 
2678;;Як я піду до Дунаю
2679;;Ножі полокати.
2680;;Як я піду до Дунаю
2681;;Ножі полокати.
2682;;
2683;;Й  були добрі сусідочки, 
2684;;– Дали неньці знати: 
2685;;– Ой йди, ой йди, рідна нене, 
2686;;Дочку поховати.
2687;;– Ой йди, ой йди, рідна нене, 
2688;;Дочку поховати.
2689;;
2690;;Біжит отець, біжит мати, 
2691;;Біжит вся родина: 
2692;;– Відчинітся, смутні двері, 
2693;;Тут моя дитина.
2694;;– Відчинітся, смутні двері, 
2695;;Тут моя дитина.
2696;;
2697;ОЙ ЗАЦВІЛА СИНЯ КВІТКА;Ой зацвіла синя квітка
2698;;Коло перелазу, 
2699;;Були губки солоденькі
2700;;В миленької зразу.
2701;;Були губки солоденькі
2702;;В миленької зразу.
2703;;
2704;;Були губки солоденькі, 
2705;;А потому згіркли, 
2706;;Занадився мій миленький
2707;;До чужої жінки.
2708;;Занадився мій миленький
2709;;До чужої жінки.
2710;;
2711;;Як прийшов же він до неї: 
2712;;– Відчини ж ти, серце. 
2713;;Вона встала, відказала: 
2714;;– Забий жінку перше.
2715;;Вона встала, відказала: 
2716;;– Забий жінку перше.
2717;;
2718;;– Як же ж її, дівчинонько, 
2719;;Як її забити?
2720;;Моя жінка ластівонька
2721;;Буде ся просити.
2722;;Моя жінка ластівонька
2723;;Буде ся просити.
2724;;
2725;;– Не дивися, козаченьку, 
2726;;На її просьбоньку, 
2727;;Забий косу у лавоньку 
2728;;Та й бий в головоньку.
2729;;Забий косу у лавоньку 
2730;;Та й бий в головоньку.
2731;;
2732;;Ой пішов той козаченько, 
2733;;Горілки напився, 
2734;;А прийшов же він додому, 
2735;;До жінки вчепився.
2736;;А прийшов же він додому, 
2737;;До жінки вчепився.
2738;;
2739;;Сидить мила коло столу, 
2740;;Дитину годує, 
2741;;Ходить милий по кімнаті, 
2742;;Ножика готує.
2743;;Ходить милий по кімнаті, 
2744;;Ножика готує.
2745;;
2746;;– Покинь, мила чорнобрива, 
2747;;Дитя годувати, 
2748;;Бо я піду до Дунаю 
2749;;Ножа полокати.
2750;;Бо я піду до Дунаю 
2751;;Ножа полокати.
2752;;
2753;;– Почкай мені, мій миленький, 
2754;;Хоть одну годину, 
2755;;Ой нехай я нагодую 
2756;;Маленьку дитину.
2757;;Ой нехай я нагодую 
2758;;Маленьку дитину.
2759;;
2760;;– Тоді будеш, моя мила, 
2761;;Дитя годувати, 
2762;;Як я піду до Дунаю 
2763;;Ножа полокати.
2764;;Як я піду до Дунаю 
2765;;Ножа полокати.
2766;;
2767;;Ой пішов той козаченько
2768;;Ножа полокати. 
2769;;А сусіди, добрі люди, 
2770;;Дали неньці знати.
2771;;А сусіди, добрі люди, 
2772;;Дали неньці знати.
2773;;
2774;;Біжит, біжит стара мати, 
2775;;Дрібненько ступає, 
2776;;Лежит дочка-ластівочка, 
2777;;Як мак процвітає.
2778;;Лежит дочка-ластівочка, 
2779;;Як мак процвітає.
2780;;
2781;;– Доню ж моя, доню ж моя, 
2782;;Що ж ти наробила?
2783;;Ой що твоя кров червона 
2784;;Дунай закрасила?
2785;;Ой що твоя кров червона 
2786;;Дунай закрасила?
2787;;– Ой нічого, моя мамцю, 
2788;;Я не наробила, 
2789;;Наробила та дівчина, 
2790;;Що його любила.
2791;;Наробила та дівчина, 
2792;;Що його любила.
2793;;
2794;ОЙ РАНЕНЬКО СОНЦЕ СХОДИТЬ;Ой раненько сонце сходить, 
2795;;Пізненько заходить, 
2796;;А жонатий жінку має, 
2797;;На досвітки ходить.
2798;;
2799;;Ой прийшов він на досвітки, 
2800;;Добрий вечір! – каже, 
2801;;Вона стала, приказала: 
2802;;– Забий жінку перше.
2803;;
2804;;Забий жінку ще й дитину, 
2805;;Положи на лавці, 
2806;;Тоді прийдеш ізвечора, 
2807;;А підеш уранці.
2808;;
2809;;Ой прийшов він додомоньку, 
2810;;Став ножа гострити, 
2811;;Його мила догадалась
2812;;Та й стала просити:
2813;;
2814;;– Зажди, милий, чорнобривий, 
2815;;Хоч їдну годину, 
2816;;Нехай же я погодую 
2817;;Малую дитину.
2818;;
2819;;Зажди, милий, чорнобривий, 
2820;;Хоч їден часочок, 
2821;;Нехай же я погодую 
2822;;Останній разочок.
2823;;
2824;;– Тоді будеш, моя мила, 
2825;;Дитя годувати, 
2826;;Як я піду до Дунаю 
2827;;Ножа полоскати.
2828;;
2829;;Пішов милий до Дунаю 
2830;;Ножа полоскати, 
2831;;А сусіди, добрі люди, 
2832;;Дали мамі знати.
2833;;
2834;;– Кидай, мати, хутко прати, 
2835;;Кидай говорити, 
2836;;Іди свою рідну дочку 
2837;;До труни рядити.
2838;;
2839;;Ввійшла мати ще й до хати, 
2840;;На поріг ступила: 
2841;;– Що ж ти, моя рідна доню, 
2842;;Що ж ти провинила?
2843;;
2844;;Що ж ти, моя рідна доню, 
2845;;Що ж ти провинила, 
2846;;Що ти свою головоньку 
2847;;На поріг склонила?
2848;;
2849;;Що-с ти свою головоньку 
2850;;На поріг склонила, 
2851;;Що ти свою кров червону 
2852;;По хаті розлила!
2853;;
2854;ПО САДОЧКУ ХОЖУ;По садочку хожу 
2855;;Черешеньку саджу. 
2856;;– Ходи сюди, мій миленький, 
2857;;Щось я тобі скажу.
2858;;
2859;;Ходи до кімнати, –
2860;;Я буду вмерати. 
2861;;Ой чи будеш, мій миленький, 
2862;;За мнов жалувати?
2863;;
2864;;Милий зажурився. 
2865;;Пішов підголився: 
2866;;– Коли б тіло взяти з хати, 
2867;;Я би оженився.
2868;;
2869;;Ой прийшли дівчата
2870;;Тіло повіджати, 
2871;;А мій милий жмурит оком:
2872;;Котру би тут взяти?
2873;;
2874;;Коби таку взяти, 
2875;;Щоб добре робила,
2876;;Щоби личко рум’янеє 
2877;;Й сама чорнобрива.
2878;;
2879;;Діти тото вчули 
2880;;Та й взяли плакати: 
2881;;– Мамко наші рідненькії, 
2882;;Де ж тепер вас взяти?
2883;;
2884;;Ой вас ні купити, 
2885;;Вас ні заробити... 
2886;;Зберем же ся за рученьки 
2887;;Та й підем служити.
2888;;
2889;;Мати тото вчула, 
2890;;Почала плакати: 
2891;;– Цитьте, діти, та й не плачте, 
2892;;Я так лягла спати.
2893;;
2894;;– Мила моя, мила, 
2895;;Яка ж ти зрадлива!
2896;;Ой я думав, що ти вмерла, 
2897;;А ти вже й ожила!
2898;;
2899;ЗА ГОРАМИ СОНЦЕ ПАЛАЄ;За горами сонце палає, 
2900;;За хмарою сонце блестить, 
2901;;Поїхав мій милий далеко, 
2902;;Згадаю, то серце болить.
2903;;Поїхав мій милий далеко, 
2904;;Згадаю, то серце болить.
2905;;
2906;;Далека, далека дорога, 
2907;;Далека чужая сторона, 
2908;;Згадай же, мій милий, про мене, 
2909;;Що я залишилась не сама.
2910;;Згадай же, мій милий, про мене, 
2911;;Що я залишилась не сама.
2912;;
2913;;В неділю ще дуже раненько 
2914;;В саду соловей щебетав, 
2915;;Заходжу я в хату тихенько, 
2916;;Як свекір листочок читав.
2917;;Заходжу я в хату тихенько, 
2918;;Як свекір листочок читав.
2919;;
2920;;– Ходи ж но ти, доню, до столу, 
2921;;Почуєш, що милий написав, 
2922;;Він пише, що другу кохає, 
2923;;Тобі написав: забувай!
2924;;Він пише, що другу кохає, 
2925;;Тобі написав: забувай!
2926;;
2927;;А мила нічого й не сказала,. 
2928;;Но тільки сказала одно: 
2929;;– Давно б я за нього забула, 
2930;;Коли б не дитина його.
2931;;– Давно б я за нього забула, 
2932;;Коли б не дитина його.
2933;;
2934;;Ой люлю, маленьке дитятко, 
2935;;Ой люлю, пора тобі спать, 
2936;;Бо ще треба сісти до столу, 
2937;;Щоб тату листа написать.
2938;;Бо ще треба сісти до столу, 
2939;;Щоб тату листа написать.
2940;;
2941;;Писала листочок, писала, 
2942;;Мабуть уже треба кінчать 
2943;;– Нехай приїжджає мій милий
2944;;Мене, молодую, ховать.
2945;;– Нехай приїжджає мій милий
2946;;Мене, молодую, ховать.
2947;;
2948;;Вже третя неділя минає, 
2949;;Як свекір невістку сховав, 
2950;;А милий листочок читає
2951;;І каже, що я вивіряв.
2952;;А милий листочок читає
2953;;І каже, що я вивіряв.
2954;;
2955;;Волнується серце козаче, 
2956;;Волнується юная кров, 
2957;;Він згадує жінку, дитину, 
2958;;Він згадує першу любов.
2959;;Він згадує жінку, дитину, 
2960;;Він згадує першу любов.
2961;;
2962;В САДУ, ВИШНЕВОМУ САДОЧКУ;В саду вишневому, садочку, 
2963;;В саду соловей щебетав, 
2964;;Підходжу я тихо під хату, 
2965;;Там свекор листочка читав.
2966;;Підходжу я тихо під хату, 
2967;;Там свекор листочка читав.
2968;;
2969;;– Іди-но, невістко, послухай, 
2970;;Що син мій тобі написав.
2971;;Він пише, що вже оженився, 
2972;;"Тобі ""забувай"" напиcав."
2973;;Він пише, що вже оженився, 
2974;;"Тобі ""забувай"" напиcав."
2975;;
2976;;Невістка нічого не сказала, 
2977;;Сказала лиш слово одно: 
2978;;Його б то я скоро забула, 
2979;;Коли б не дитина його.
2980;;Його б то я скоро забула, 
2981;;Коли б не дитина його.
2982;;
2983;;– Ой люлі, синочку мій, люлі, 
2984;;Ой люлі, пора тобі спать. 
2985;;А я піду сяду край стола
2986;;До батька листочка писать.
2987;;А я піду сяду край стола
2988;;До батька листочка писать.
2989;;
2990;;Писала листочка, писала, 
2991;;Писала вже й буду кінчать. 
2992;;Прийди вже, мій милий, додому, 
2993;;Мене, молодую, ховать.
2994;;Прийди вже, мій милий, додому, 
2995;;Мене, молодую, ховать.
2996;;
2997;;Вже й третя неділя минає, 
2998;;Як свекор невістку поховав. 
2999;;Тоді син листа присилає, 
3000;;Що я собі так жартував.
3001;;Тоді син листа присилає, 
3002;;Що я собі так жартував.
3003;;
3004;;Забилось юнацькеє серце, 
3005;;Забилась юнацькая кров, 
3006;;Він згадує жінку й дитину, 
3007;;Він згадує першу любов.
3008;;Він згадує жінку й дитину, 
3009;;Він згадує першу любов.
3010;;
3011;й ОЙ З-ПІД МОСТА ГЛИБОКО;й Ой з-під моста глибоко
3012;;Виріс явір високо. 
3013;;Виріс явір високо. 
3014;;
3015;;Йа з-під того явора 
3016;;Вийшла вдова молода. 
3017;;Вийшла вдова молода. 
3018;;
3019;;Вийшла вдова молода
3020;;Та й вивела два сина. 
3021;;Та й вивела два сина. 
3022;;
3023;;Та й вивела два сина, 
3024;;В білий китай повила. 
3025;;В білий китай повила. 
3026;;
3027;;В білий китай вповила
3028;;Та й в корабель вложила. 
3029;;Та й в корабель вложила. 
3030;;
3031;;Та й в корабель вложила, 
3032;;Та й на море бросила. 
3033;;Та й на море бросила. 
3034;;
3035;;– Ой ти ж тихая вода, 
3036;;Прийми моїх два сина. 
3037;;Прийми моїх два сина. 
3038;;
3039;;Прийми ж мої два сина:
3040;;Іванюшу й Василя. 
3041;;Іванюшу й Василя. 
3042;;
3043;;Ти, жовтесенький пісок, 
3044;;Нагодуй моїх діток. 
3045;;Нагодуй моїх діток. 
3046;;
3047;;Пройшло років двадцять п’ять, 
3048;;Вийшла вдова воду брать. 
3049;;Вийшла вдова воду брать. 
3050;;
3051;;Вийшла вдова воду брать, 
3052;;Настав дощик накрапать. 
3053;;Настав дощик накрапать. 
3054;;
3055;;Настав дощик накрапать, 
3056;;Став Дунайчик прибувать. 
3057;;Став Дунайчик прибувать. 
3058;;
3059;;Став Дунайчик прибувать, 
3060;;Став корабель припливать. 
3061;;Став корабель припливать. 
3062;;
3063;;А на тому кораблі 
3064;;Два матроси молоді. 
3065;;Два матроси молоді. 
3066;;
3067;;Їден сидить впереді, 
3068;;Поглядає по воді. 
3069;;Поглядає по воді. 
3070;;
3071;;Другий сидить позаді, 
3072;;Поглядає по вдові. 
3073;;Поглядає по вдові. 
3074;;
3075;;– Ой ти, вдово молода. 
3076;;Чи не підеш за нас два? 
3077;;Чи не підеш за нас два? 
3078;;
3079;;Чи не підеш за нас два, 
3080;;За Ванюшу й Василя?
3081;;
3082;;– Я за вас два не піду, 
3083;;За Ванюшу дочку шлю. 
3084;;За Ванюшу дочку шлю. 
3085;;
3086;;– Ой ти, вдово молода, 
3087;;Та й що ж же ти за їдна? 
3088;;Та й що ж же ти за їдна? 
3089;;
3090;;– А я з міста міщанка, 
3091;;На прізвище Карпинка. 
3092;;На прізвище Карпинка. 
3093;;
3094;;А ти ж, матрос молодий, 
3095;;Ой що ж же ти за один? 
3096;;Ой що ж же ти за один? 
3097;;
3098;;– А я з міста міщанин, 
3099;;На прізвисько Карпів син. 
3100;;На прізвисько Карпів син. 
3101;;
3102;;– Ой Боже ж наш, Боже наш, 
3103;;Який тепер світ настав? 
3104;;Який тепер світ настав? 
3105;;
3106;;Який тепер світ настав, 
3107;;Що син неньку не пізнав. 
3108;;Що син неньку не пізнав. 
3109;;
3110;;Що син неньку не пізнав, 
3111;;Брат з сестрою шлюб узяв. 
3112;;Брат з сестрою шлюб узяв. 
3113;;
3114;ОЙ ДАЛЕКО, ДАЛЕКО;Ой далеко, далеко 
3115;;Ой далеко, далеко 
3116;;Росте терен високо.
3117;;
3118;;А з-під того терена 
3119;;А з-під того терена 
3120;;Вийшла вдова молода.
3121;;
3122;;Вийшла вдова молода 
3123;;Вийшла вдова молода 
3124;;Та й вивела два сина.
3125;;
3126;;Та й вивела два сина: 
3127;;Та й вивела два сина: 
3128;;Микитюшу й Василя.
3129;;
3130;;Микитюшу й Василя 
3131;;Микитюшу й Василя 
3132;;В тихий Дунай бросила:
3133;;
3134;;– Ой ти, чистая вода, 
3135;;– Ой ти, чистая вода, 
3136;;Прийми моїх два сина.
3137;;
3138;;Вода каже: – Я прийму. 
3139;;Вода каже: – Я прийму. 
3140;;Хвиля каже: – Викину.
3141;;
3142;;Хвиля каже: – Викину. 
3143;;Хвиля каже: – Викину. 
3144;;Сонце каже: – Обгрію.
3145;;
3146;;Сонце каже: – Обгрію.  
3147;;Сонце каже: – Обгрію.  
3148;;Вітер каже: – Обвію.
3149;;
3150;;– Ти, високий очерет,  
3151;;– Ти, високий очерет, 
3152;;Да[ва]й дітям вечерять.
3153;;
3154;;Ти, висока осока,  
3155;;Ти, висока осока, 
3156;;Давай дітям молока.
3157;;
3158;;Став корабель припливать 
3159;;Став корабель припливать 
3160;;І до вдови говорять:
3161;;
3162;;– Ой ти, вдово, ти, вдова,  
3163;;– Ой ти, вдово, ти, вдова, 
3164;;Чи полюбиш ти нас два?
3165;;
3166;;– За одного я піду,  
3167;;– За одного я піду, 
3168;;За другого доч даю.
3169;;
3170;;– Ой ти, вдова, ти, вдова,  
3171;;– Ой ти, вдова, ти, вдова, 
3172;;Дурна твоя голова.
3173;;
3174;;Дурна твоя голова:  
3175;;Дурна твоя голова: 
3176;;Перше синів топила.
3177;;
3178;;Перше синів топила, 
3179;;Перше синів топила,  
3180;;Тепер би ся дружила.
3181;;
3182;СЛАВНИЙ ГОРОД ЛЕБЕДИН;Славний город Лебедин,
3183;;Да славний город Лебе... 
3184;;Лебедин,
3185;;В котором я... 
3186;;В котором я давно бил.
3187;;
3188;;В котором я давно бил,
3189;;Да в котором я давно... 
3190;;Давно бил, 
3191;;Семьсот рублей... 
3192;;Семьсот рублей заробив.
3193;;
3194;;Семьсот рублей заробив,
3195;;Да семьсот рублей... 
3196;;Рублей заробив, 
3197;;За день за ноч... 
3198;;За день, за ноч все пропив.
3199;;
3200;;Но осталось сто рублей,
3201;;Да осталося сто руб... 
3202;;Сто рублей,
3203;;Найняв тройку... 
3204;;Найняв тройку лошадей.
3205;;
3206;;Найняв тройку лошадей,
3207;;Да найняв тройку... 
3208;;Тройку лошадей:
3209;;– Погоняй, брат... 
3210;;Погоняй, брат, поскорей.
3211;;
3212;;Погоняй, брат, поскорей,
3213;;Да поганяй, брат, гей, поскорей,
3214;;До шинкарки...
3215;;До шинкарки молодой.
3216;;
3217;;– Шинкарочко молода, 
3218;;Да шинкарочко, 
3219;;Гей, гей, молода, 
3220;;Подай пива... 
3221;;Подай пива ще й вина.
3222;;
3223;;– А я пива не подам, 
3224;;Да я пива, 
3225;;Гей, гей, не подам, 
3226;;Бо ти, Ваня, 
3227;;Бо ти, Ваня шарлатан.
3228;;
3229;;– Ой хоч же я шарлатан, 
3230;;Да ой хоч же я, 
3231;;Гей, гей, шарлатан, 
3232;;Єсть у мене... 
3233;;Єсть у мене грошей жбан.
3234;;
3235;;– Якщо в тебе грошей жбан, 
3236;;Да якщо в тебе, 
3237;;Гей, гей, грошей жбан, 
3238;;Я за тебе... 
3239;;Я за тебе дочку дам.
3240;;
3241;;Я за тебе дочку дам, 
3242;;Да й за тебе, 
3243;;Гей, гей, дам дочку 
3244;;[Ще й в додачу...] 
3245;;Ще й в додачу наймичку.
3246;;
3247;;– Чорт з тобою, з твой дочкой, 
3248;;Да чорт з тобою, 
3249;;Гей, гей, з твой дочкой
3250;;Ще й додачі... 
3251;;Ще й додачі з наймичкой.
3252;;
3253;ОЙ ЗІЙШОВ МІСЯЦЬ, ЗІЙШОВ ЯСНИЙ;Ой зійшов місяць, зійшов ясний, 
3254;;Долиною туман лежить. 
3255;;Там за долиною – хатина,
3256;;А в хаті тій вогонь горить.
3257;;Там за долиною – хатина,
3258;;А в хаті тій вогонь горить.
3259;;
3260;;– Козак не вернеться вже, доню, 
3261;;Лежить він десь в землі сирій...
3262;;Як видно, доленька такая, 
3263;;Що не судився бути твій.
3264;;Як видно, доленька такая, 
3265;;Що не судився бути твій.
3266;;
3267;;Другому рушники чіпляла, 
3268;;Розплела косу русую, 
3269;;Дрібні сльози витирала:
3270;;Рішала доленьку свою.
3271;;Дрібні сльози витирала:
3272;;Рішала доленьку свою.
3273;;
3274;НЕ ПІЙДУ ЗАМІЖ ЗА СТАРОГО;Не пійду заміж за старого, 
3275;;Старий не парочка мені, 
3276;;Як віддасте мене за нього, –
3277;;Я буду жить в сирій землі.
3278;;
3279;;А там у лісі є хатина, 
3280;;Там тускло лампочка горить, 
3281;;Там мати дочку розважає, –
3282;;Дочка зажурена сидить.
3283;;
3284;;– Одиниця моя ти, доню, 
3285;;Ти в мене квіточка одна,
3286;;Не жди, не прийде він додому, 
3287;;Його живого вже нема!
3288;;
3289;;– А може, ще колись вернеться, 
3290;;А я ще заміж не пійду, 
3291;;Його я буду дожидатись, 
3292;;Як не дождуся, то й умру!
3293;;
3294;;Вже там за лісом сонце сходить, 
3295;;Майбуть, вже милий мій іде, 
3296;;На нім сорочка цвіт защитний, 
3297;;Вона мене з ума зведе!
3298;;
3299;КОТИВСЯ МІСЯЦЬ ІЗ-ЗА ХМАРИ;Котився місяць із-за хмари
3300;;І всю долину освітив.
3301;;Як освітив усю долину,
3302;;Та й знов за хмари закотив[сь].
3303;;Як освітив усю долину,
3304;;Та й знов за хмари закотив[сь].
3305;;
3306;;А в тій долині стоїть хата,
3307;;Там в хаті огоньок горить,
3308;;Там мати дочку научає,
3309;;Дочка заплакана сидить.
3310;;Там мати дочку научає,
3311;;Дочка заплакана сидить.
3312;;
3313;;– Ой доню ж моя гарна, люба,
3314;;Ти в мене донечка одна,
3315;;Не жди, не жди козака з бою,
3316;;Його живого вже [й] нема.
3317;;Не жди, не жди козака з бою,
3318;;Його живого вже [й] нема.
3319;;
3320;;Багато й декого побила, 
3321;;Багато й декого нема, 
3322;;Багато дівчат війшло заміж, 
3323;;А ти чого сидиш одна?
3324;;Багато дівчат війшло заміж, 
3325;;А ти чого сидиш одна?
3326;;
3327;;На третій вечір всьо затихло, 
3328;;Не чути матері, дочки, 
3329;;А на четвертий за нелюба
3330;;Давала дівка рушники.
3331;;А на четвертий за нелюба
3332;;Давала дівка рушники.
3333;;
3334;;Давала, слізоньки втирала
3335;;І клятву милому дала, 
3336;;Аби другого я любила, 
3337;;Або у гроб іду сама, 
3338;;Любити милого другого, 
3339;;Або у гроб іду жива.
3340;;
3341;ЗАЙДИ, МІСЯЦЬ, ЗАЙДИ, ЯСНИЙ;Зайди, місяць, зайди, ясний, 
3342;;За нову комору, 
3343;;Ой нехай я з своїм милим
3344;;Тихо поговору.
3345;;
3346;;– Постій, постій, моя мила, 
3347;;Щось маю казати, 
3348;;Бо не велить батько й мати
3349;;Тебе бідну брати.
3350;;
3351;;– Іди, іди, мій миленький, 
3352;;Багату шукати, 
3353;;А я прийду на весілля
3354;;До тебе гуляти.
3355;;
3356;;– Ой як прийдеш на весілля
3357;;Та глянеш на мене, 
3358;;Покотяться дрібні сльози
3359;;У тебе і в мене!
3360;;
3361;;А в неділю ранесенько
3362;;Та всі дзвони ревуть, 
3363;;Молодую дівчиноньку
3364;;Вже в гробу везуть.
3365;;
3366;;Ой як мали вже ховати, 
3367;;Схитнулася труна, 
3368;;Молоденький козаченько
3369;;Счорнів, як земля.
3370;;
3371;;– Розійдіться, люди добрі, 
3372;;Дайте мені стати, 
3373;;Поцілую неживую, –
3374;;Бо будуть ховати!
3375;;
3376;;Стоїть батько, стоїть мати
3377;;Та посміхаються: 
3378;;– За кім, за кім наш синочок
